iter	Passed	Remaining
1440	19755	48792
1441	19769	48779
1442	19782	48763
1443	19794	48747
1444	19806	48728
1445	19819	48712
1446	19832	48696
1447	19844	48678
1448	19856	48661
1449	19869	48646
1450	19882	48630
1451	19895	48615
1452	19908	48599
1453	19919	48580
1454	19932	48563
1455	19944	48545
1456	19956	48528
1457	19969	48514
1458	19982	48496
1459	19994	48478
1460	20006	48461
1461	20018	48444
1462	20030	48426
1463	20042	48408
1464	20054	48390
1465	20067	48376
1466	20081	48362
1467	20093	48344
1468	20105	48327
1469	20118	48312
1470	20130	48294
1471	20141	48275
1472	20154	48258
1473	20167	48242
1474	20179	48225
1475	20192	48209
1476	20204	48192
1477	20217	48176
1478	20228	48156
1479	20241	48140
1480	20252	48122
1481	20265	48107
1482	20278	48091
1483	20290	48074
1484	20302	48056
1485	20317	48044
1486	20329	48029
1487	20342	48013
1488	20354	47995
1489	20370	47985
1490	20387	47981
1491	20401	47967
1492	20413	47950
1493	20425	47932
1494	20436	47913
1495	20448	47896
1496	20460	47876
1497	20472	47860
1498	20484	47842
1499	20496	47824
1500	20508	47806
1501	20520	47790
1502	20533	47774
1503	20545	47758
1504	20558	47741
1505	20572	47728
1506	20584	47710
1507	20596	47693
1508	20608	47677
1509	20620	47660
1510	20632	47642
1511	20644	47624
1512	20656	47607
1513	20668	47590
1514	20682	47576
1515	20696	47563
1516	20709	47548
1517	20722	47532
1518	20734	47515
1519	20746	47498
1520	20757	47479
1521	20770	47463
1522	20783	47447
1523	20795	47430
1524	20807	47414
1525	20819	47396
1526	20831	47380
1527	20843	47360
1528	20855	47344
1529	20868	47329
1530	20880	47310
1531	20892	47295
1532	20905	47279
1533	20916	47260
1534	20928	47242
1535	20940	47226
1536	20953	47209
1537	20965	47193
1538	20977	47176
1539	20990	47161
1540	21002	47142
1541	21014	47125
1542	21027	47111
1543	21040	47096
1544	21053	47079
1545	21065	47063
1546	21077	47046
1547	21090	47030
1548	21102	47014
1549	21115	46998
1550	21127	46980
1551	21140	46966
1552	21152	46950
1553	21164	46933
1554	21177	46918
1555	21189	46900
1556	21201	46882
1557	21213	46865
1558	21225	46848
1559	21237	46831
1560	21249	46813
1561	21260	46795
1562	21273	46780
1563	21286	46764
1564	21298	46748
1565	21311	46733
1566	21324	46718
1567	21336	46701
1568	21351	46690
1569	21374	46697
1570	21388	46684
1571	21400	46667
1572	21413	46652
1573	21426	46636
1574	21439	46621
1575	21451	46604
1576	21463	46587
1577	21475	46570
1578	21487	46554
1579	21499	46537
1580	21511	46519
1581	21523	46502
1582	21535	46486
1583	21548	46471
1584	21560	46453
1585	21573	46438
1586	21585	46421
1587	21597	46404
1588	21609	46388
1589	21621	46371
1590	21634	46355
1591	21646	46337
1592	21658	46320
1593	21670	46305
1594	21683	46289
1595	21694	46270
1596	21707	46256
1597	21719	46238
1598	21730	46220
1599	21742	46203
1600	21755	46187
1601	21767	46170
1602	21779	46154
1603	21791	46136
1604	21803	46120
1605	21815	46103
1606	21827	46086
1607	21838	46068
1608	21851	46051
1609	21864	46037
1610	21878	46024
1611	21890	46007
1612	21902	45991
1613	21915	45976
1614	21927	45958
1615	21938	45941
1616	21951	45924
1617	21963	45908
1618	21975	45892
1619	21987	45874
1620	21999	45858
1621	22012	45843
1622	22025	45828
1623	22037	45811
1624	22050	45796
1625	22062	45780
1626	22075	45765
1627	22088	45751
1628	22101	45736
1629	22113	45719
1630	22125	45703
1631	22138	45687
1632	22151	45672
1633	22163	45655
1634	22175	45638
1635	22188	45624
1636	22200	45608
1637	22213	45592
1638	22224	45574
1639	22235	45556
1640	22248	45540
1641	22260	45523
1642	22272	45506
1643	22283	45488
1644	22296	45473
1645	22308	45456
1646	22319	45439
1647	22331	45422
1648	22347	45413
1649	22361	45400
1650	22376	45389
1651	22389	45374
1652	22401	45357
1653	22412	45339
1654	22424	45322
1655	22436	45305
1656	22447	45288
1657	22459	45271
1658	22471	45254
1659	22483	45238
1660	22495	45220
1661	22507	45205
1662	22519	45188
1663	22531	45171
1664	22543	45154
1665	22555	45138
